id_usuario,duracion_recorrido,nombre_estacion_origen,nombre_estacion_destino
671339,3123,SIMON BOLIVAR,SIMON BOLIVAR
155761,525,Pasteur,AGUERO
506445,860,Plaza Italia,Solar de la Abadía
389471,449,Ruy Díaz de Guzmán,JUAN MANUEL DE BLANES
293501,476,BRASIL,Plazoleta Colombia
385749,222,HOSPITAL RAMOS MEJIA,MANZANA 66
670930,908,HOSPITAL ALEMÁN,DON BOSCO
297704,13187,CULPINA,PARQUE DEL BAJO
238026,428,Pacifico,Matienzo Y Arce
343286,1082,SAN MIGUEL DE GARICOITS,Plaza Gurruchaga
522895,3476,GARCIA DEL RIO,GARCIA DEL RIO
214946,590,RODRIGO BUENO,PARQUE DEL BAJO
242859,1661,ECHEVERRIA,UGARTECHE
159036,740,Cabello,Pacifico
153028,349,Godoy Cruz y Libertador,Plaza Alemania
416397,1863,Guatemala,ECHEVERRIA
246316,1769,Acevedo,CARLOS CALVO
502070,1336,HOSPITAL ALEMÁN,Matienzo Y Arce
221950,1010,PLAZA BOLIVIA,Balbín
150959,1926,Paraná,Parque Centenario
168984,201,MACACHA GUEMES,Madero Office
328140,863,Federico Lacroze,Villa Urquiza
380234,1174,SAN MARTIN,YATAY
318215,1275,ADUANA,Paraná
494237,1657,Hospital Francés,ESMERALDA
621457,6772,Plazoleta Rafael del Riego,Plazoleta Rafael del Riego
599596,419,PLAZA BOLIVIA,BARRANCAS DE BELGRANO
285779,1942,PLAZA BOLIVIA,PLAZA BOLIVIA
130772,3025,Godoy Cruz y Libertador,FACULTAD DE DERECHO
362785,357,Plaza Francisco Ramirez,GARCIA DEL RIO
651536,8094,Salcedo,Uruguay
226328,4580,Plaza Zapiola,Plaza Zapiola
632331,7910,Plaza Italia,Plaza Francisco Ramirez
300331,1807,Guatemala,HOSPITAL ITALIANO
321058,233,PUEYRREDÓN,Pasteur
508401,596,PARQUE DEL BAJO,Chile
169285,1916,GARCIA DEL RIO,Balbín
447256,913,LARREA Y BARTOLOMÉ MITRE,Ecuador
618758,1548,Julián Álvarez,BARRANCAS DE BELGRANO
238242,936,Congreso,Plaza Vicente Lopez
168177,334,25 De Mayo,MACACHA GUEMES
323307,1813,HOSPITAL ITALIANO,Plaza Saenz Peña
425511,991,Constitución,HOSPITAL GARRAHAN
603982,2603,ESTADOS UNIDOS Y BOEDO,RIGLOS
175538,512,Legislatura,ESMERALDA
265200,1170,LARREA Y BARTOLOMÉ MITRE,Pedro Echague
403697,378,Acevedo,SAN MARTIN
160288,2011,PRIMERA JUNTA,HUMBERTO 1°
423041,379,PLAZA BOLIVIA,BARRANCAS DE BELGRANO
671050,1112,Plaza Italia,Plaza Italia
451245,272,QUINTEROS LIDORO,PLAZA ALBERTI
166865,650,ESTADOS UNIDOS Y BOEDO,PERÓN Y ACUÑA DE FIGUEROA
211571,436,Fitz Roy & Gorriti,Pacifico
242859,463,MONROE,Plaza Rafael Hernandez
204506,1235,Billinghurst,General Urquiza
370556,342,Ministerio de Economia,FACULTAD DE INGENERIA
562614,650,PLAZOLETA CELEDONIO FLORES,Plazoleta Rafael del Riego
353989,7089,Velasco,Velasco
569942,125,Lavalle,Pasteur
169279,1143,Matienzo Y Arce,Pacifico
487850,1253,Plaza Irlanda,Plaza Irlanda
407806,880,FACULTAD DE INGENERIA,Estados Unidos
665105,1575,Pacifico,Peña
294960,762,Quintino Bocayuva,Guayaquil
641440,1209,Parque Lezama,Parque Lezama
173945,949,Cementerio de Recoleta,Paraná
519902,779,Constitución,Pasco
346767,658,Aranguren,Humahuaca
290839,835,Pedro Echague,Chile
155806,1772,Peña,Plaza República de Ecuador
662408,793,HOSPITAL DE CLÍNICAS,Plaza Primero de Mayo
671898,1766,Distrito Audiovisual,Plaza Marcos Sastre
227586,422,SAN MIGUEL DE GARICOITS,PLAZA NORUEGA
580992,765,Velasco,Armenia y Gorriti
242891,466,ARAOZ,Julián Álvarez
223343,641,Peña,Billinghurst
300496,2409,Plaza Marcos Sastre,PLAZA MONSEÑOR MIGUEL DE ANDREA
533184,1490,Congreso,CALIFORNIA
481254,910,Salcedo,SAAVEDRA
668621,1393,SAN MIGUEL DE GARICOITS,Ecuador
169474,675,VILLARROEL,Distrito Audiovisual
402580,2574,JUAN MANUEL DE BLANES,JUAN MANUEL DE BLANES
493663,1672,Parque Centenario,Acuña de Figueroa
159234,707,LIMA,CORRIENTES
501654,1051,PLAZA BENITO NAZAR,RIGLOS
170295,387,ESTADOS UNIDOS Y BOEDO,DON BOSCO
575882,368,BARRANCAS DE BELGRANO,PLAZA BOLIVIA
351632,2347,Humahuaca,Matienzo Y Arce
138361,743,Plaza Almagro,HOSPITAL ALEMÁN
336457,1948,CASA SAN,JULIETA LANTERI
424201,1329,DOBLAS,YATAY
492945,1104,Paraná,JUANA MANSO I
177893,1404,Plaza Guemes,SAN MIGUEL DE GARICOITS
667988,1838,PLAZA ALBERTI,Distrito Audiovisual
250018,497,Velasco,Acevedo
426729,1444,Congreso,OBELISCO
212869,234,Pasteur,HOSPITAL DE CLÍNICAS
432847,1376,BARRANCAS DE BELGRANO,BARRANCAS DE BELGRANO
170501,637,HOSPITAL GARRAHAN,CARLOS CALVO
191673,2748,BARRANCAS DE BELGRANO,Lavalle
459983,1559,Plaza Irlanda,José Marmol
300243,412,Godoy Cruz y Libertador,Plaza Alemania
555389,1037,RAVIGNANI Y GUATEMALA,PLAZOLETA CELEDONIO FLORES
667391,272,Jose Maria Moreno,Jose Maria Moreno
226701,1333,Hospital Francés,Jose Maria Moreno
338948,1495,Ruy Díaz de Guzmán,MEXICO
622119,1034,Usina del Arte,VERA PEÑALOZA
178421,1057,ESPINOSA,Plaza Almagro
631198,10681,Ministerio de Justicia y Seguridad,HUMBERTO 1°
195244,1845,SAN MIGUEL DE GARICOITS,SAN MIGUEL DE GARICOITS
173939,2239,Plaza Saenz Peña,Plaza Saenz Peña
358607,1279,Balbín,Ministro Carranza
282548,1598,Peña,CARLOS CALVO
625618,1636,Plazoleta Rafael del Riego,Hospital Rivadavia
230689,1247,SIMON BOLIVAR,SIMON BOLIVAR
354885,2378,Parque Las Heras,QUINTEROS LIDORO
654320,1134,Velasco,ARENALES Y AGUERO
421426,826,Fleni,GARCIA DEL RIO
442117,1558,Carlos Gardel,VILLARROEL
560931,1914,AUSTRIA Y FRENCH,Humahuaca
586482,1112,Parque Centenario,Donato Alvarez
418166,1105,MINISTERIO DE EDUCACION,FACULTAD DE DERECHO
450190,1854,Velasco,Coronel Diaz
177386,656,Coronel Diaz,Peña
171718,193,ESMERALDA,25 De Mayo
212681,853,RIOBAMBA,Billinghurst
139780,2564,PLAZA BENITO NAZAR,Quintino Bocayuva
169674,1398,Suipacha,Suipacha
144563,1528,SIMON BOLIVAR,Guayaquil
604180,427,JUANA MANSO I,DELLA PAOLERA
232694,418,Hipólito Yrigoyen,Parque Centenario
350145,313,Velasco,Acevedo
212299,1490,Acuña de Figueroa,PLAZA 24 DE SEPTIEMBRE
666157,553,Plaza Francisco Ramirez,TRONADOR Y GARCÍA DEL RÍO
273423,2783,Plaza República de Ecuador,PLAZA BOLIVIA
468172,860,RIOBAMBA,Plaza Italia
136521,1942,Club Ciudad de Buenos Aires,Ecoparque
239301,2067,Balbín,Armenia
132157,461,Estados Unidos,Claudia Pia Braudacco
227628,786,Godoy Cruz y Libertador,Plaza Palermo Viejo
145883,1800,Godoy Cruz y Libertador,Acevedo
370882,1275,Parque Las Heras,Plaza Libertad
298499,299,Hospital Rivadavia,Cementerio de Recoleta
238184,1810,HOSPITAL DE CLÍNICAS,PERÓN Y ACUÑA DE FIGUEROA
560203,1865,SAN MARTIN,SAN MARTIN
332552,2720,ESTADOS UNIDOS Y BOEDO,BRASIL
650375,401,RIOBAMBA,AUSTRIA Y FRENCH
628944,1558,Luna,Urquiza y Rondeau
231617,1778,Velasco,MONROE
384884,923,Parque Centenario,Carlos Gardel
546892,1939,PLAZA ALBERTI,Distrito Audiovisual
175212,1874,Parque Centenario,Congreso
664624,1410,PLAZOLETA CELEDONIO FLORES,BARRANCAS DE BELGRANO
152844,496,Paraná,Plaza Vicente Lopez
670828,783,ADUANA,MACACHA GUEMES
353150,994,Plaza Alemania,RIOBAMBA
141650,465,Catedral,Congreso
395772,1241,Plaza Italia,Distrito Audiovisual
540634,518,Independencia,HUMBERTO 1°
276466,1935,Godoy Cruz y Libertador,PERÓN Y ACUÑA DE FIGUEROA
227598,1773,Parque Las Heras,Hospital Rivadavia
162249,619,PLAZOLETA CELEDONIO FLORES,RAVIGNANI Y GUATEMALA
667776,753,PUEYRREDÓN,Coronel Diaz
393568,6842,Carlos Gardel,Carlos Gardel
572469,466,Paraná,Facultad de Medicina
253147,1266,Plaza Guemes,Peña
607765,1576,BARRANCAS DE BELGRANO,Fitz Roy & Gorriti
672095,1313,BARRANCAS DE BELGRANO,TRONADOR Y GARCÍA DEL RÍO
130170,1222,PLAZA BENITO NAZAR,Guatemala
463861,879,Plaza República de Ecuador,Plaza Italia
672938,440,BARRANCAS DE BELGRANO,PLAZA BOLIVIA
479514,2476,Pacifico,San Jose de Flores
350345,2634,Plaza Zapiola,Plaza Italia
436074,529,Independencia,VIRREY CEVALLOS
490068,1225,PLAZA BOLIVIA,PLAZA BOLIVIA
373467,740,HOSPITAL RAMOS MEJIA,PERÓN Y ACUÑA DE FIGUEROA
387805,1149,Plaza Marcos Sastre,GARCIA DEL RIO
330134,405,Legislatura,Plaza Roma
481194,376,VILLARROEL,Federico Lacroze
190805,1870,Plaza Gurruchaga,Plaza Bruno Giordano
244776,1101,Diagonal Norte,Hospital Britanico
665536,312,CERRITO,MARCELO T. DE ALVEAR
639690,2159,JUAN MANUEL DE BLANES,JUAN MANUEL DE BLANES
213875,407,Lavalle,PUEYRREDÓN
159394,2166,Velasco,25 De Mayo
277557,1947,MACACHA GUEMES,Hospital Francés
606395,1136,Federico Lacroze,Balbín
174543,2061,HOSPITAL ITALIANO,Hospital Rivadavia
196810,703,HOSPITAL GARRAHAN,Parque José Evaristo Uriburu
302886,354,Retiro I,Reconquista
404549,1170,Plaza J.J. Paso,Plaza Gurruchaga
569922,578,MINISTERIO DE EDUCACION,Suipacha
413687,337,San Jose de Flores,Venancio Flores
412771,1094,F.J.Santamaria de Oro,Plaza Alemania
237215,227,CORRIENTES,MACACHA GUEMES
502225,852,Constitución,Congreso
497744,1397,Hospital Britanico,Plaza Primero de Mayo
581594,1639,Constitución,LARREA Y BARTOLOMÉ MITRE
166972,1986,AZUCENA VILLAFLOR,Reconquista
312871,334,Ecuador,AUSTRIA Y FRENCH
186498,2044,Balbín,Distrito Audiovisual
594267,703,CERRITO,Ministerio de Economia
318473,844,Plaza Palermo Viejo,AUSTRIA Y FRENCH
534306,20663,Aranguren,Plaza Almagro
622235,1288,Plaza Marcos Sastre,Plaza Rafael Hernandez
354721,1266,MACACHA GUEMES,Congreso
228266,1883,PLAZA BENITO NAZAR,Plaza Irlanda
379639,1301,Independencia,CARLOS CALVO
162312,938,Malabia,PLAZA MONSEÑOR MIGUEL DE ANDREA
549611,1232,Reconquista,HOSPITAL ARGERICH
272104,2441,Suipacha,Colonia Express
450899,1619,Facultad de Medicina,Salcedo
668315,1141,Matienzo Y Arce,Ecuador
273492,1773,PLAZA NORUEGA,Donato Alvarez
192191,426,Godoy Cruz y Libertador,Godoy Cruz y Libertador
373623,943,Club Ciudad de Buenos Aires,PLAZA BOLIVIA
349251,434,HOSPITAL ALEMÁN,Cabello
540534,1188,Carlos Gardel,Reconquista
493667,6904,MINISTERIO DE EDUCACION,BRASIL
587399,1260,Constitución,AIME PAINÉ
183698,1902,PLAZA BOLIVIA,ARENALES Y AGUERO
410560,1120,Julián Álvarez,Velasco
244792,1500,Quintino Bocayuva,Paraná
490877,1609,Montevideo,Ruy Díaz de Guzmán
554408,744,Coronel Diaz,Acuña de Figueroa
297397,1467,Barrio 31,Paraná
153028,767,Pacifico,Plaza Alemania
479587,1354,RIGLOS,RIGLOS
151598,254,AIME PAINÉ,ADUANA
591129,1993,Pacifico,QUINTEROS LIDORO
410894,1628,PLAZA ALBERTI,Plaza Marcos Sastre
510677,1790,Parque José Evaristo Uriburu,FACULTAD DE INGENERIA
477872,2608,Guayaquil,Pacifico
200440,212,MINISTERIO DE EDUCACION,Plaza Libertad
559604,1339,AZUCENA VILLAFLOR,Madero Office
501353,1739,MONROE,Guatemala
225353,1540,Velasco,Velasco
474296,500,PRIMERA JUNTA,Jose Maria Moreno
490207,655,GAINZA,SAN MARTIN
451658,833,Quintino Bocayuva,GAINZA
362699,474,Acevedo,Velasco
497252,405,PARQUE DEL BAJO,JUANA MANSO I
186527,882,PLAZA BOLIVIA,Plaza Alemania
433210,129,José Marmol,José Marmol
138894,4886,FACULTAD DE DERECHO,FACULTAD DE DERECHO
624890,2843,Plaza J.J. Paso,Fleni
667428,3891,UGARTECHE,UGARTECHE
369342,1364,Parque Las Heras,Plaza República de Ecuador
591175,1449,Galicia,Acevedo
201181,1223,Ecuador,Humahuaca
282871,777,ADUANA,INGENIERO BUTTY
508583,1184,Armenia,Plaza República de Ecuador
549085,1450,RAVIGNANI Y GUATEMALA,PLAZA NORUEGA
412323,2799,Jose Maria Moreno,Jose Maria Moreno
404489,4945,Coronel Diaz,BILLINGHURST Y MANSILLA
220071,1537,Coronel Diaz,Pacifico
217682,1174,Malabia,PUEYRREDÓN
384757,562,Parque Centenario,Acevedo
535790,1429,GAINZA,Venancio Flores
186422,871,PLAZA ALBERTI,Plazoleta Rafael del Riego
167182,1436,BARRANCAS DE BELGRANO,General Urquiza
567706,1988,BRASIL,Parque Lezama
666216,988,RAVIGNANI Y GUATEMALA,F.J.Santamaria de Oro
465031,766,PRIMERA JUNTA,RIGLOS
427409,959,HOSPITAL ALEMÁN,HOSPITAL ALEMÁN
148159,1541,Cementerio de Recoleta,Acuña de Figueroa
670963,724,Velasco,Carlos Gardel
591551,998,CALIFORNIA,Hospital Britanico
620955,5144,Plaza Primero de Mayo,Plaza Primero de Mayo
140528,1110,Plaza Alemania,Plaza Guemes
495404,1057,RIGLOS,INSTITUTO  LELOIR
658427,1118,PRIMERA JUNTA,Velasco
182326,830,MACACHA GUEMES,Claudia Pia Braudacco
289075,856,Legislatura,Congreso
276455,933,ARAOZ,RAVIGNANI Y GUATEMALA
200440,210,Plaza Libertad,MINISTERIO DE EDUCACION
471048,1933,FACULTAD DE DERECHO,Parque Lezama
620897,1205,SIMON BOLIVAR,SIMON BOLIVAR
381471,1463,GARCIA DEL RIO,Villa Urquiza
668281,803,Pacifico,Plazoleta Rafael del Riego
171271,885,Pasco,Constitución
243455,884,Plaza Alemania,JUNCAL
317587,650,Armenia,UGARTECHE
261128,1282,PLAZA BENITO NAZAR,Plaza Guemes
518310,1420,Reconquista,Parque Las Heras
236255,800,PLAZA BOLIVIA,PLAZA ALBERTI
177954,865,HOSPITAL ITALIANO,MANZANA 66
294558,1208,VERA PEÑALOZA,JUANA MANSO I
260774,1324,Guayaquil,SAAVEDRA
401009,1370,Plaza Francisco Ramirez,Ministro Carranza
631809,1243,Matienzo Y Arce,Plaza República de Ecuador
240393,1149,MALBA,Suipacha
376725,1049,Club Ciudad de Buenos Aires,PLAZA ALBERTI
163565,645,Solar de la Abadía,F.J.Santamaria de Oro
568002,571,Velasco,Armenia y Gorriti
351940,1183,Parque Centenario,GÚZMAN
666229,271,MEXICO,MANZANA 66
205543,4291,Acevedo,Acevedo
196627,1720,BRASIL,Parque Lezama
174799,513,VILLARROEL,Distrito Audiovisual
496886,865,Plaza Saenz Peña,Plaza Saenz Peña
442781,320,GARCIA DEL RIO,TRONADOR Y GARCÍA DEL RÍO
266146,20679,ESTADOS UNIDOS Y BOEDO,Avelino Diaz
332155,846,Galicia,PLAZA BENITO NAZAR
571992,579,Independencia,Estados Unidos
249695,1834,Acevedo,YATAY
288079,1418,PRIMERA JUNTA,Urquiza y Rondeau
671012,250,HOSPITAL DE CLÍNICAS,Peña
633840,1586,PLAZA NORUEGA,PLAZA ALBERTI
191160,311,Puan,GAINZA
391853,785,UGARTECHE,HOSPITAL ALEMÁN
611866,1158,RAVIGNANI Y GUATEMALA,General Urquiza
328233,1470,Luna,ADUANA
275992,754,MONROE,QUINTEROS LIDORO
483820,3003,HOSPITAL ALEMÁN,La Pampa
161189,1486,Plaza Guemes,DELLA PAOLERA
197868,1167,Solar de la Abadía,Villa Urquiza
293581,798,Malabia,PERÓN Y ACUÑA DE FIGUEROA
265274,1259,Hipólito Yrigoyen,Plaza Palermo Viejo
536370,935,Plaza Italia,RAVIGNANI Y GUATEMALA
532760,2174,MALBA,Federico Lacroze
269199,1556,Quintino Bocayuva,CERRITO
463848,388,MALBA,General Urquiza
175268,2234,QUINTEROS LIDORO,AUSTRIA Y FRENCH
375237,1632,ESPINOSA,Ayacucho
167932,172,La Pampa,PLAZA NORUEGA
273094,1639,Hospital Francés,Armenia y Gorriti
164645,1593,ECHEVERRIA,Villa Urquiza
131234,1439,Parque Las Heras,BARRANCAS DE BELGRANO
283360,771,Armenia y Gorriti,RAVIGNANI Y GUATEMALA
459242,1603,JULIETA LANTERI,AIME PAINÉ
230434,820,Matienzo Y Arce,Cabello
665448,727,Independencia,Congreso
207010,697,ECHEVERRIA,Plaza Francisco Ramirez
136478,532,Billinghurst,PUEYRREDÓN
132387,927,Plaza Alemania,Matienzo Y Arce
655600,1405,GAINZA,GAINZA
148912,1437,HUMBERTO 1°,MACACHA GUEMES
558888,354,RETIRO II,RETIRO II
311293,710,GARCIA DEL RIO,PLAZA ALBERTI
668774,2566,Plaza Italia,Plaza Italia
361995,1328,Acuña de Figueroa,MEXICO
147787,2286,Coronel Diaz,Carlos Gardel
445933,634,Peña,Paraná
503435,502,MARCELO T. DE ALVEAR,Catedral
145664,5272,JULIETA LANTERI,Parque Las Heras
287104,472,SAN MIGUEL DE GARICOITS,Plaza Zapiola
199560,787,Plaza Guemes,Plaza Palermo Viejo
229781,1073,Malabia,Ecuador
454691,2465,SAAVEDRA,Billinghurst
460357,660,Plaza Guemes,Plaza Palermo Viejo
244956,269,ONCE II,Pasteur
606090,958,VERA PEÑALOZA,Plaza Roma
178500,1783,PUEYRREDÓN,PUEYRREDÓN
276255,1841,PLAZA DEL ANGEL GRIS,SAN MIGUEL DE GARICOITS
162436,732,Armenia y Gorriti,ARENALES Y AGUERO
562452,355,Lavalle,Congreso
438988,527,Plaza Italia,Plaza Alemania
282834,1317,Fitz Roy,Puan
427863,1729,Parque Centenario,Parque Centenario
657413,1561,Parque Centenario,RIGLOS
287131,2234,Velasco,Ecuador
634381,414,PLAZA 24 DE SEPTIEMBRE,Plaza Irlanda
398219,1748,JULIETA LANTERI,Plaza Alemania
203861,992,Distrito Audiovisual,PLAZA BOLIVIA
138766,782,Parque Centenario,José Marmol
441957,1470,Constitución,Peña
140256,1469,MACACHA GUEMES,Plaza Libertad
571029,352,Plaza Rafael Hernandez,Fleni
394952,456,Plaza Rafael Hernandez,PLAZA ALBERTI
451245,236,Fleni,PLAZA ALBERTI
535185,1430,Plaza Palermo Viejo,Parque Centenario
351559,1069,Plaza Saenz Peña,Galicia
160805,11040,INSTITUTO  LELOIR,Godoy Cruz y Libertador
273880,842,San Jose de Flores,Plaza Irlanda
131313,716,ESTADOS UNIDOS Y BOEDO,Salcedo
527536,360,Matienzo Y Arce,Pacifico
241828,508,Plaza Zapiola,Plaza Marcos Sastre
393409,487,Plaza Guemes,Plaza Guemes
549287,1867,Carlos Gardel,PLAZOLETA CELEDONIO FLORES
185183,1292,BILLINGHURST Y MANSILLA,SAN MARTIN
637248,524,HUMBERTO 1°,FACULTAD DE INGENERIA
162312,749,PLAZA MONSEÑOR MIGUEL DE ANDREA,Velasco
606621,528,Plaza Bruno Giordano,HOSPITAL ITALIANO
671574,562,Uruguay,PUEYRREDÓN
246694,1743,Plaza Zapiola,Guatemala
237215,750,LARREA Y BARTOLOMÉ MITRE,MACACHA GUEMES
465942,1972,Plaza J.J. Paso,Tronador
459238,584,FACULTAD DE INGENERIA,Estados Unidos
570498,957,Humahuaca,Plaza Primero de Mayo
361995,1556,MEXICO,Plaza Guemes
442075,1750,Hospital Francés,Legislatura
560218,2886,YATAY,YATAY
533302,1462,Ecoparque,AGUERO
169795,1010,Uruguay,Billinghurst
304757,1087,SIMON BOLIVAR,PRIMERA JUNTA
551077,1761,UGARTECHE,HOSPITAL DE CLÍNICAS
417233,627,General Urquiza,General Urquiza
651121,2182,RODRIGO BUENO,RODRIGO BUENO
236048,2660,PLAZA BENITO NAZAR,9 de Julio
181466,226,GÚZMAN,Federico Lacroze
211686,2650,Puan,BILLINGHURST Y MANSILLA
597670,4421,Pacifico,Tronador
290389,2336,Reconquista,Plaza República de Ecuador
378623,1645,FACULTAD DE DERECHO,Godoy Cruz y Libertador
407296,1387,ARENALES Y AGUERO,DOBLAS
285396,1573,Donato Alvarez,Pacifico
588690,913,Plaza J.J. Paso,Plazoleta Rafael del Riego
239219,1856,QUINTEROS LIDORO,Godoy Cruz y Libertador
285396,1188,Fitz Roy,Donato Alvarez
199795,1233,Parque Centenario,SAN MARTIN
348778,5934,Parque José Evaristo Uriburu,Guayaquil
302139,787,Armenia,Distrito Audiovisual
372970,1619,José Marmol,Legislatura
592579,2430,Hospital Rivadavia,Godoy Cruz y Libertador
201136,742,Godoy Cruz y Libertador,JUNCAL
138557,797,Paraná,Pasco
616923,1662,Reconquista,YATAY
204757,711,Julián Álvarez,PERÓN Y ACUÑA DE FIGUEROA
251740,1336,Plaza Francisco Ramirez,Plaza Marcos Sastre
557628,1126,Diagonal Norte,DON BOSCO
265696,1679,General Urquiza,General Urquiza
668403,781,Pacifico,GÚZMAN
203578,299,Urquiza y Rondeau,Parque José Evaristo Uriburu
200122,712,Pacifico,Plaza República de Ecuador
140342,692,Fitz Roy,Pacifico
609742,1536,Plaza Zapiola,Fitz Roy & Gorriti
487852,1298,SAAVEDRA,LIMA
